approx_payout_date,country,currency,num_order,num_payouts,payout_type,previous_payouts,sale_duration,sale_duration2,show_map,user_age,venue_address,venue_name,fraud,event_id,cost,availability,quantity_total,quantity_sold
1309489200,US,USD,20,0,CHECK,4,18.0,18,1,89,225 Prairie View Drive,Turtle creek Apartment ,False,1737295.0,,1.0,200.0,20
1306888800,US,USD,1,1,CHECK,2,0.0,0,1,62,9421 W. Higgins Road,The Rosewood Restaurant,False,1737605.0,210.0,4.0,301.0,1
1311883200,GB,GBP,2,2,ACH,7,36.0,36,1,132,707 Forest Road,,False,1769553.0,22.5,2.0,120.0,2
1313038800,US,USD,30,1,ACH,2,61.0,61,0,318,1216 Sunbury Rd,Ohio Dominican University,False,1770371.0,17.91,3.0,10100.0,55
1316111400,US,USD,1,39,ACH,77,97.0,97,1,120,"4300 Paces Ferry Rd, SE",Due Maternity,False,1770403.0,5.0,1.0,20.0,1
1311330600,US,USD,15,0,ACH,3,24.0,24,1,13,"2135 Queens Chapel Road, N.E.",DC Star Nightclub,False,1840495.0,215.0,4.0,1100.0,26
1314129600,US,USD,26,1,CHECK,14,49.0,49,0,848,,,False,1868469.0,41.54,1.0,1000.0,26
1316579400,US,USD,6,0,CHECK,1,66.0,66,0,259,7447 Roswell Road,,False,1900721.0,10.0,1.0,500.0,9
1317877200,US,USD,25,0,ACH,10,56.0,81,1,718,83 Essex St,Chau Chow City,False,1901149.0,46.26,1.0,130.0,30
1329465600,US,USD,7,1,CHECK,2,132.0,132,1,77,404 euclid ave,The Jacobs Center at Market Creek,True,1928009.0,433.0,25.0,480.0,9
1317596400,GB,GBP,82,0,ACH,1,49.0,70,0,0,The Hawthorns,,False,1933487.0,465.0,6.0,325.0,92
1316149200,GB,GBP,16,4,ACH,17,53.0,53,1,383,"44 - 47 Gardner Street,",THE KOMEDIA,False,1934033.0,5.93,1.0,100.0,33
1312761600,,GBP,9,0,ACH,0,6.0,6,0,0,Hammersmith Road,Olympia Exhibition Hall,True,1964043.0,500.0,1.0,100.0,0
1331856000,GB,GBP,7,21,ACH,72,219.0,219,1,90,275 Borough High Street,,False,1998849.0,337.5,3.0,75.0,8
1317787200,US,USD,48,1034,CHECK,1264,56.0,56,1,553,2444 Flint Hill Rd,Flint Hill Elementary School,False,1999765.0,10.0,1.0,300.0,84
1317700800,GB,GBP,15,15,ACH,57,47.0,47,1,312,251 Old Marylebone Rd,St Mark's church,False,2031641.0,,3.0,800.0,84
1319751000,US,USD,4,0,ACH,1,71.0,71,0,0,815 Grand Central Blvd,Somerset Christian School,False,2031653.0,40.0,4.0,1400.0,8
1315857600,CA,CAD,16,1,ACH,1,17.0,17,0,0,Richcraft Theatre,Shenkman Arts Centre,False,2031823.0,20.0,2.0,200.0,28
1321938000,GB,GBP,16,17,ACH,57,28.0,28,1,380,251 Old Marylebone Rd,St Mark's church,False,2031895.0,,5.0,400.0,38
1315386000,US,USD,392,2,ACH,3,13.0,13,1,536,657 Harrison ,SupperClub SF,False,2065037.0,385.0,7.0,497.0,491
1319850000,US,USD,113,0,CHECK,3,62.0,63,0,63,5000 Forbes Avenue,Campus of Carnegie Mellon University,False,2065313.0,860.2700000000002,16.0,833.0,803
1315632600,AU,AUD,2,0,ACH,12,8.0,8,1,166,144 Jonson St,ANANTA YOGO STUDIO,False,2097355.0,12.85,1.0,100.0,2
1316253600,US,USD,17,2,ACH,11,8.0,8,1,47,21800 Town Center Plaza,Rio Cantina,False,2130264.0,35.0,1.0,34.0,34
1318305600,US,USD,28,27,ACH,77,32.0,32,0,968,,,False,2130574.0,17.91,1.0,400.0,27
1319101200,US,USD,1,0,ACH,2,34.0,34,1,460,99 SE 1st street,Platforms,False,2163386.0,30.0,1.0,300.0,2
1319792400,US,USD,2,0,ACH,1,42.0,42,1,108,1023 Front street ,Crescent Club Speakeasy,False,2163464.0,15.0,1.0,300.0,4
1317441600,US,USD,2,0,ACH,9,10.0,10,1,372,355 West 41st St,Tobacco Road,False,2192094.0,5.0,1.0,50.0,1
1318820400,CA,CAD,36,0,ACH,10,25.0,25,1,379,111 West Hasting Street,W2 Community Media Cafe,False,2196356.0,20.0,2.0,100.0,39
1322895600,US,USD,3,0,ACH,0,20.0,65,0,0,5801 Security Blvd,,True,2228484.0,30.0,1.0,50.0,0
1320348600,US,USD,5,2,CHECK,13,36.0,36,1,159,75 Amherst Street,MIT Media Lab,False,2228620.0,8.46,1.0,40.0,9
1323637200,US,USD,2,6,CHECK,143,71.0,74,1,36,325 S. Melrose Drive Building 300,San Diego Law Library - Vista Location,False,2228986.0,8.46,1.0,33.0,7
1326441300,US,USD,3,0,ACH,1,100.0,100,0,0,720 E. Monte Visa Ave.,Georgie Duke Sports Center,False,2261334.0,31.09,2.0,250.0,4
1319175000,US,USD,2,26,ACH,60,16.0,16,1,463,2110 N. Fremont St.,Planet Gemini,False,2261356.0,10.0,1.0,200.0,6
1319693400,US,USD,3,28,ACH,60,22.0,22,1,463,2110 N. Fremont St.,Planet Gemini,False,2261460.0,10.0,1.0,200.0,5
1328234400,US,USD,40,1,CHECK,4,8.0,45,1,300,78 Country Club Trl,Liberty Mountain Resort & Conference Center,False,2326998.0,22.63,1.0,52.0,38
1320728400,GB,GBP,2,0,ACH,3,20.0,20,1,86,,Belstead Brook Hotel,False,2327014.0,27.8,4.0,300.0,2
1323639000,GB,GBP,10,23,ACH,65,25.0,47,0,1185,Bentham House,UCL Faculty of Laws,False,2360140.0,52.55,6.0,110.0,68
1321392600,GB,GBP,2,0,ACH,2,21.0,21,1,710,Dean Court,AFC Bournemouth,False,2360226.0,8.75,1.0,12.0,2
1321491600,US,USD,4,0,ACH,1,14.0,14,1,0,101 Crosby Street,Meet at the Apartment ,False,2424838.0,250.0,1.0,40.0,30
1325808000,US,USD,1,2,CHECK,11,0.0,0,0,320,,,False,2425032.0,70.0,2.0,1000.0,2
1321570800,US,USD,12,18,ACH,133,15.0,15,1,533,North Harvard Street ,Webster Field/Behind Stadium,False,2425270.0,20.0,2.0,250.0,43
1344639600,US,USD,220,13,ACH,31,281.0,281,1,1,,,False,2425348.0,615.0,6.0,1595.0,243
1324170000,US,USD,1,0,ACH,5,0.0,0,0,43,,,False,2457932.0,4112.55,1.0,10.0,1
1323338400,CA,CAD,3,0,ACH,1,29.0,29,1,724,1489 East Hastings ,The Waldorf Hotel,False,2458264.0,10.0,1.0,40.0,4
1324184400,US,USD,23,0,ACH,1,28.0,32,1,0,1610 20th St. NW,,False,2490426.0,35.0,1.0,140.0,28
1325529000,US,USD,1,658,ACH,1666,48.0,48,0,1144,Manatee Ave W and Palma Sola Blvd,,False,2490702.0,332.95,3.0,6.0,2
1325844000,US,USD,19,4,CHECK,5,44.0,44,1,608,8 Westland Ave,Symphony 8,False,2523242.0,35.0,2.0,400.0,40
1331942400,CA,CAD,8,85,ACH,394,114.0,114,1,456,3005 119 Street NW,Providence Renewal Centre,False,2523402.0,245.76,1.0,12.0,9
1335830400,US,USD,1,14,ACH,55,158.0,158,1,247,1820 Market Street,St. Louis Union Station Marriott,False,2523610.0,2589.4,2.0,2.0,1
1327708800,AU,AUD,1,0,ACH,4,58.0,58,1,56,311 Victoria Street,aHa Studio,False,2556282.0,75.0,2.0,12.0,1
1322784000,US,USD,1,56,ACH,434,1.0,1,0,232,,,False,2556416.0,250.0,1.0,1.0,1
1334872800,US,USD,64,0,CHECK,4,50.0,140,1,3,,Seven Springs Campground,False,2556850.0,8.94,5.0,4000.0,130
1327010400,US,USD,1,1,ACH,43,43.0,43,1,53,737 Lamar Stree,san antonio winery,False,2589262.0,3.76,1.0,50.0,2
1328070600,US,USD,20,58,CHECK,157,55.0,55,1,211,1515 12th Avenue ,Northwest Film Forum ,False,2589534.0,60.0,3.0,170.0,77
1324098000,US,USD,2,10,CHECK,32,9.0,9,1,682,4350 Pouncey Tract Road,SkateNation Plus,False,2589614.0,68.0,4.0,530.0,12
1325844000,US,USD,110,1,CHECK,4,22.0,22,0,359,138 Minna St.,John Colins,False,2621588.0,2620.0,4.0,206.0,198
1325836500,US,USD,15,6,ACH,12,3.0,3,0,919,111 Minna St,111 Minna Gallery,False,2687671.0,,1.0,100000.0,15
1357466400,US,USD,7,1,ACH,3,46.0,46,1,1103,58 ROSS WAY QUINCY CENTER,CLUB 58 ENTERTAINMENT COMPLEX,False,2687765.0,35.0,2.0,360.0,10
1330500600,US,USD,11,19,CHECK,24,22.0,22,1,836,11330 Shelbyville Rd,Republic Bank,False,2719841.0,45.31,1.0,25.0,17
1336186800,US,USD,39,0,ACH,3,113.0,113,1,0,5600 Seawall Boulevard,,False,2720077.0,116.0,14.0,30792.0,80
1328673600,US,USD,55,14,CHECK,41,28.0,28,1,779,815 Mercer Street,UW Medicine - across the street from Glazer's,False,2720111.0,13.18,1.0,60.0,57
1332370800,CA,CAD,3,16,ACH,148,41.0,41,0,186,,,False,2720347.0,360.0,16.0,240.0,5
1327140000,US,USD,2,36,ACH,253,10.0,10,1,196,657 Harrison Street,,False,2720475.0,15.0,1.0,30.0,3
1330477200,US,USD,52,3,ACH,5,45.0,49,1,671,5801 Smith Avenue,Mt. Washington Conference Center,False,2720691.0,140.0,6.0,141.0,118
1330039800,US,USD,11,0,CHECK,3,38.0,38,1,700,13063 S Monitor Avenue,Elim's Palos Heights Adult Services Building,False,2753111.0,15.0,1.0,50.0,25
1328925600,US,USD,1,0,CHECK,3,25.0,25,1,699,4551 Old Airport Road,Cabarrus Arena & Events Center,False,2753403.0,140.76,1.0,10.0,1
1329904800,US,USD,11,2,CHECK,4,27.0,30,0,398,138 Minna St.,John Colins,False,2785301.0,15.0,1.0,50.0,17
1330317000,US,USD,19,8,ACH,31,35.0,35,0,132,1701 N Gay St,,False,2785633.0,115.0,5.0,230.0,22
1350603000,US,USD,3,71,ACH,121,270.0,270,1,823,45689 Hayes Rd,Sherwood Brewing Company,False,2785789.0,49.99,1.0,9.0,9
1333756800,US,USD,1,3,ACH,4,49.0,57,0,129,4255 Sandy Plains Rd.,Unity North Atlanta Church,False,2785937.0,183.28,1.0,300.0,1
1329107400,US,USD,7,19,ACH,45,15.0,15,1,332,1375 Chatham Parkway,Savannah Morning News,False,2818155.0,3.73,1.0,100.0,10
1330495200,CA,CAD,6,3,ACH,9,26.0,26,1,89,693 Grande Allée Est,,False,2850861.0,31.75,2.0,18.0,6
1340953200,US,USD,2,0,ACH,1,145.0,147,1,0,2200 Front Street,California Automobile Museum,False,2851275.0,52.87,1.0,3.0,3
1332954000,US,USD,2,0,ACH,1,13.0,13,1,99,701 Main Street,,False,2851737.0,66.0,4.0,168.0,6
1331011800,US,USD,98,1,CHECK,2,16.0,16,1,480,701 Pennsylvania Ave. NW,US Navy Memorial,False,2884023.0,75.0,2.0,150.0,141
1331746200,GB,GBP,23,0,ACH,2,30.0,30,1,440,79 Oxford Street,St James,False,2916513.0,4.05,1.0,70.0,29
1337729400,GB,GBP,24,0,ACH,6,86.0,99,1,65,Chelson Street,,False,2916769.0,156.85,3.0,51.0,49
1333670400,GB,GBP,14,3,ACH,8,38.0,39,1,594,Maxstoke Lane,Forest of Arden Hotel,False,2916845.0,90.53,1.0,100.0,15
1352610000,AU,AUD,105,22,ACH,59,15.0,15,1,454,St George Rowing Club,,False,2981983.0,10.29,3.0,300.0,277
1331582400,US,USD,9,1,ACH,13,8.0,15,1,154,201 Carmichael Road,Hudson Golf Club,False,2992917.0,20.0,1.0,50.0,9
1335297600,GB,GBP,12,93,ACH,126,52.0,55,1,519,Kings Place,,False,3015171.0,338.0,2.0,30.0,14
1332734400,GB,GBP,17,0,ACH,1,24.0,25,1,0,13 - 15 King Edward Street,L.K.Bennett,False,3015583.0,13.45,1.0,50.0,28
1343368800,GB,GBP,33,8,ACH,20,143.0,143,1,121,Atherton Road,,False,3047729.0,6.5,1.0,400.0,268
1362711600,US,USD,40,2,ACH,3,44.0,44,1,737,"212 East Capitol Street, SE",Luthern Church of the Reformation,False,3047895.0,45.26,2.0,150.0,49
1333296000,US,USD,13,7,ACH,43,25.0,27,1,377,1711 Route 10 East,Atlanta Bread Company,False,3048075.0,20.64,3.0,200.0,16
1338501600,CA,CAD,55,0,ACH,2,85.0,87,1,0,Corner of Hwy 61 and 20th Side Road,,False,3048129.0,116.01,14.0,5426.0,182
1331953200,GB,GBP,15,0,ACH,0,9.0,9,1,0,67 Old Gate Road ,Hill Top Caravan Park,True,3048157.0,600.0,2.0,120.0,9
1332802800,US,USD,4,19,CHECK,48,14.0,21,0,919,"4435 E. Chandler Boulevard, #100",First American Title - Arrowhead,False,3048217.0,8.46,1.0,50.0,3
1331535300,US,USD,1,11,ACH,29,0.0,0,0,306,,,True,3090085.0,140.76,1.0,1000.0,1
1331964000,US,USD,1,0,ACH,1,4.0,4,1,0,900 EAST PRINCETON ST.,The Mennello Museum of American Art,True,3104463.0,2050.0,3.0,300.0,3
1335222000,US,USD,13,6,ACH,63,41.0,41,1,429,444 N. Wabash Ave,Benny's Chop House,False,3112971.0,937.24,4.0,36.0,17
1337122800,CA,CAD,5,32,ACH,148,0.0,0,1,223,462 Hazeldean Road,Kunstadt Sports,False,3129449.0,49.72,2.0,27.0,5
1337857200,US,USD,14,1153,ACH,1972,65.0,65,1,840,4321 West Flamingo Road,Rain Nightclub,False,3145815.0,394.0100000000001,6.0,2900.0,17
1339120800,US,USD,24,84,CHECK,228,79.0,79,1,1455,700 W Convention Way 92802 ,Anaheim Marriott ,False,3145837.0,31.94,7.0,1750.0,274
1333054800,US,USD,2,0,CHECK,1,10.0,10,1,23,956 North Neltnor Blvd. ,Progressive Athletics,False,3145841.0,,2.0,100.0,2
1348632000,GB,GBP,1,1,ACH,12,70.0,70,1,150,Church St,University Campus Barnsley,False,3146313.0,10.0,2.0,16.0,7
1337714100,CA,CAD,27,33,ACH,151,64.0,64,1,301,201 Winchester Street,Riverdale Farm,False,3146607.0,5.03,2.0,43.0,35
1335213000,CA,CAD,32,0,ACH,1,29.0,29,1,673,791 West Georgia Street,Four Seasons Hotel Vancouver,False,3179183.0,95.0,2.0,117.0,81
1333519200,US,USD,3,21,ACH,29,1.0,1,0,328,,,True,3244275.0,140.76,1.0,1000.0,3
1343851200,US,USD,38,2,ACH,15,116.0,116,1,75,2555 Gilham Rd,Cal Young Middle School,False,3249649.0,92.9,1.0,150.0,92
1337571000,US,USD,18,2,CHECK,9,42.0,42,1,706,4 Cambridge Center,Meadhall,False,3277515.0,25.0,2.0,23.0,23
1341109800,US,USD,13,0,CHECK,11,81.0,83,1,35,24575 Smithtown Rd,Minnetonka Country Club,False,3282379.0,1079.62,6.0,624.0,14
1334880000,US,USD,2,0,ACH,0,5.0,5,1,0,25 South Queen Street,Lancaster County Convention Center at the Marriott Penn Square,True,3310151.0,1230.0,7.0,75.0,2
1350700200,US,USD,6,26,ACH,33,189.0,189,1,586,2017 North Greenfield Road,Falcon Field Air Museum,False,3310391.0,325.03,2.0,26.0,15
1336122000,US,USD,5,4,ACH,11,16.0,16,1,77,100 Warrenton St.,Rumor Boston,False,3342981.0,20.0,1.0,40.0,8
1337659200,ES,EUR,2,2,ACH,11,28.0,28,1,1,11 Calle de Bailén,"MOB, Makers of Barcelona",False,3375205.0,65.64,3.0,60.0,2
1340073000,GB,EUR,24,7,ACH,13,56.0,56,1,574,"40, avenue de Friedland",Hôtel Napoléon Paris,False,3375465.0,158.0,4.0,295.0,66
1335796200,GB,GBP,22,0,ACH,32,-3.0,0,1,0,St Catherine's Retail Park,,True,3423729.0,183.75,2.0,200.0,0
1368748800,US,USD,11,1,ACH,2,22.0,22,1,812,On the Lawn - Botanical Gardens,Montrose Pavilion ,False,3424313.0,50.0,1.0,200.0,22
1379021400,US,USD,3,0,CHECK,1,18.0,18,1,1502,8555 Beverly Blvd,Sofitel Hotel ,False,3440783.0,403.38,5.0,250.0,27
1356739200,US,USD,43,165,ACH,174,-37.0,-37,1,394,2205 W. Belmont,Give Me Some Sugar,False,3440823.0,160.0,2.0,16.0,58
1340076600,US,USD,30,0,ACH,17,21.0,22,1,25,847 Chapel Street,The Institute Library,False,3441029.0,15.0,2.0,46.0,46
1336867200,US,USD,11,62,ACH,79,0.0,0,1,1039,,,False,3441103.0,1024.3,8.0,52.0,16
1337626800,CA,CAD,13,30,ACH,151,19.0,19,1,345,3636 Hawkestone Road,Sky Zone Indoor Trampoline Park,False,3441319.0,14.52,2.0,33.0,17
1338271200,US,USD,7,3,ACH,7,19.0,19,0,416,,,False,3473431.0,55.0,1.0,8.0,8
1338265800,US,USD,21,11,CHECK,15,21.0,21,1,611,8511 Hudson Boulevard,Holiday Inn (formerly Wildwood Lodge),False,3473481.0,44.0,1.0,60.0,23
1349665200,US,USD,4,0,ACH,1,70.0,153,1,259,300 - 500 Technology Square ,Tech Square Green Way ,False,3473577.0,75.0,2.0,400.0,5
1352863800,US,USD,6,24,ACH,35,190.0,190,0,217,,,False,3474125.0,30.0,2.0,200.0,6
1354743000,US,USD,9,26,ACH,35,212.0,212,0,217,,,False,3474133.0,30.0,2.0,200.0,11
1337727600,US,USD,18,0,ACH,0,11.0,11,1,0,,,True,3493645.0,8.46,1.0,100.0,1
1344034800,US,USD,3,1,ACH,2,40.0,40,0,650,,,False,3507117.0,,2.0,3.0,0
1349740800,,GBP,77,2,ACH,5,145.0,145,1,366,1 America Square,,False,3522653.0,1369.7199999999998,6.0,800.0,200
1340737200,GB,GBP,3,0,ACH,7,33.0,38,1,278,Pinstone St,Barclay's Bank,False,3539211.0,5.0,2.0,100.0,7
1354770000,US,USD,15,3,CHECK,8,178.0,178,1,287,2 Desbrosses St,Tribecca Rooftop,False,3588187.0,2880.15,4.0,1300.0,21
1348264800,US,USD,58,2,ACH,3,38.0,115,1,0,5585 Palmer Crossing Cir,"Riverview High School, Daiquiri Deck, The Signature Room, Siesta Key Beach",False,3599149.0,70.0,5.0,1250.0,288
1344269700,US,USD,8,21,CHECK,95,54.0,54,1,55,5302 S. Hudson Ave.,,False,3605391.0,70.0,1.0,25.0,11
1339110000,US,USD,4,0,ACH,1,4.0,4,1,89,1724 Broadway,The Riverside,False,3637462.0,25.0,1.0,30.0,5
1342162800,CA,CAD,1,161,ACH,293,38.0,39,1,503,1313 Hollis St,1313 Hollis,False,3637544.0,13.11,2.0,60.0,33
1340740800,US,USD,18,3,ACH,13,22.0,23,1,117,745 South State Street,Scera Center for the Arts,False,3637988.0,62.18,4.0,200.0,28
1339821000,US,USD,1,0,ACH,1,12.0,12,1,397,180 NE 1st St,Arts Garage ,False,3638124.0,20.0,3.0,7000.0,12
1354870800,GB,GBP,9,73,ACH,145,186.0,186,1,278,Albany Rd,,False,3638196.0,10.0,1.0,50.0,16
1340931600,US,USD,1,0,CHECK,2,19.0,19,1,26,135 West 41st Street,,False,3670508.0,105.0,2.0,40.0,2
1352872800,US,USD,41,1,CHECK,2,38.0,157,1,496,135 Fourth Street,City View at the Metreon,False,3670550.0,12583.33,8.0,730.0,433
1385614800,US,USD,5,40,ACH,40,78.0,78,1,813,19300 Ike Jones Drive,Lyon Air Museum,False,3702816.0,6027.200000000002,8.0,780.0,10
1340607600,US,USD,1,3,ACH,6,0.0,0,1,846,210 Peachtree Street Northwest,,False,3703656.0,945.85,17.0,2261.0,2
1339930800,US,USD,2,0,ACH,0,1.0,1,1,0,475 W Moreland Ave,,True,3717486.0,100.0,1.0,100.0,0
1341435600,US,USD,5,1,ACH,12,11.0,15,1,408,15 W. 56th Street,Mezzanine @ Chambers Hotel,False,3735628.0,48.99,1.0,30.0,30
1346407200,CA,CAD,108,10,ACH,19,72.0,72,1,510,2 Villiers St,The Keating Channel Pub,False,3736088.0,53.0,3.0,243.0,180
1349132400,GB,GBP,23,0,ACH,2,91.0,98,1,0,71 Newman St,Buro Happold Offices,False,3768768.0,649.15,9.0,295.0,51
1341554400,US,USD,3,0,ACH,0,5.0,5,1,0,403 E. Front St.,Sudan Temple,True,3798244.0,742.0,4.0,40.0,0
1341557700,US,USD,3,1,CHECK,3,5.0,5,1,654,840 Cherokee Ave.,Grant Park,False,3801238.0,5.06,1.0,1000.0,4
1341198000,US,USD,1,0,,0,1.0,1,1,0,4039 NW 16th Blvd,Gainsville community playhouse,True,3801364.0,700.0,3.0,65.0,4
1343368800,AU,AUD,16,0,ACH,5,25.0,25,1,1,Queen Elizabeth Dr,BONDI PAVILION,False,3801374.0,8.41,1.0,300.0,33
1344657600,US,USD,40,0,ACH,1,38.0,41,1,0,1400 E St,Yoga Seed Collective,False,3801472.0,15.0,2.0,70.0,78
1354597200,US,USD,4,19,ACH,35,153.0,155,1,196,901 Gilman Street,Pyramid Brewery & Alehouse,False,3806678.0,45.0,1.0,20.0,13
1354838400,CA,CAD,0,0,,0,151.0,153,0,0, Blow The Whistle On Bullying ~ It Matters What We Do,Blow The Whistle On Bullying ~ It Matters What We Do Tour ~ Kylie Morgan 2013,True,3833884.0,450.0,10.0,5000000.0,0
1343959200,US,USD,14,0,CHECK,9,21.0,21,1,90,1208 Farm to Market 78,DeVoir Fitness Studio,False,3834104.0,25.0,2.0,110.0,21
1349850600,US,USD,4,74,ACH,141,80.0,80,1,803,875 Divisadero Street,Fulton 55,False,3867036.0,96.0,3.0,50.0,7
1348279200,US,USD,72,4,ACH,20,67.0,67,1,172,14840 Metcalf Ave,Jody Phillips Dance Company,False,3883118.0,600.0,3.0,100.0,82
1353623400,US,USD,301,1,ACH,5,128.0,128,1,176,700 Grand Ave,Marriott Downtown Des Moines,False,3899984.0,68.89,2.0,1300.0,444
